candidate,state,standardized_office_18,standardized_status_18,redistricting_role,amount_18_in_state,amount_18_out_of_state,amount_18_unknown,amount_18_total,pct_18_in_state,pct_18_out_of_state,pct_18_unknown,standardized_office_14,standardized_status_14,amount_14_in_state,amount_14_out_of_state,amount_14_unknown,amount_14_total,pct_14_in_state,pct_14_out_of_state,pct_14_unknown,standardized_office_10,standardized_status,amount_10_in_state,amount_10_out_of_state,amount_10_unknown,amount_10_total,pct_10_in_state,pct_10_out_of_state,pct_10_unknown
"DRUMMOND, HARRIET A",AK,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,N,"$14,885","$2,245",$0,"$17,130",87%,13%,0%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$21,816","$1,800",$0,"$23,616",92%,8%,0%,,,,,,,,,
"DUBIN, MATT",WA,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,N,"$22,282","$23,365","$13,100","$58,747",38%,40%,22%,,,,,,,,,,,,,,,,,,
"DUBITSKY, DOUG",CT,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,N,"$5,384",$10,$0,"$5,394",100%,0%,0%,,,,,,,,,,,,,,,,,,
"DUBNIK, MATT",GA,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,N,"$45,900","$4,250",$0,"$50,150",92%,8%,0%,,,,,,,,,,,,,,,,,,
"DUBOIS, MICHELLE MARIE",MA,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,N,"$7,450",$250,$400,"$8,100",92%,3%,5%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$15,979",$675,$0,"$16,654",96%,4%,0%,,,,,,,,,
"DUBOSE, BOBBY",FL,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$35,350","$10,500","$10,250","$56,100",63%,19%,18%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$109,134","$7,300",$0,"$116,434",94%,6%,0%,,,,,,,,,
"DUBOSE, RICK",KY,STATE HOUSE/ASSEMBLY/SENATE,DID NOT ADVANCE,Y,"$19,720","$1,315",$100,"$21,135",93%,6%,0%,,,,,,,,,,,,,,,,,,
"DUCHOW, CINDI",WI,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$27,130",$950,$0,"$28,080",97%,3%,0%,,,,,,,,,,,,,,,,,,
"DUCKWORTH, GREGORY D",SC,STATE HOUSE/ASSEMBLY/SENATE,DID NOT ADVANCE,Y,"$46,245","$3,325",$0,"$49,570",93%,7%,0%,,,,,,,,,,,,,,,,,,
"DUCKWORTH, SUSAN D",UT,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$2,664","$3,250",$0,"$5,914",45%,55%,0%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$9,728","$1,300",$0,"$11,028",88%,12%,0%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$6,345",$600,$0,"$6,945",91%,9%,0%
"DUCRAY, BLAIR",MD,STATE HOUSE/ASSEMBLY/SENATE,DID NOT ADVANCE,Y,$740,"$1,000",$0,"$1,740",43%,57%,0%,,,,,,,,,,,,,,,,,,
"DUDLEY, CHARLES THOMAS",NC,STATE HOUSE/ASSEMBLY/SENATE,DID NOT ADVANCE,N,"$3,762",$0,$0,"$3,762",100%,0%,0%,,,,,,,,,,,,,,,,,,
"DUDLEY, WICK",MD,STATE HOUSE/ASSEMBLY/SENATE,DID NOT ADVANCE,Y,"$5,119",$855,$0,"$5,974",86%,14%,0%,,,,,,,,,,,,,,,,,,
"DUFAULT, JEREMIE J",WA,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,N,"$51,375",$0,$0,"$51,375",100%,0%,0%,,,,,,,,,,,,,,,,,,
"DUFF, BOB",CT,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,N,"$52,473","$1,265",$0,"$53,738",98%,2%,0%,,,,,,,,,,,,,,,,,,
"DUFF, CHRISTOPHER",CT,STATE HOUSE/ASSEMBLY/SENATE,DID NOT ADVANCE,N,"$16,352","$1,124",$0,"$17,476",94%,6%,0%,,,,,,,,,,,,,,,,,,
"DUFF, WILLIAM I",CT,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,N,"$4,945",$330,$0,"$5,275",94%,6%,0%,,,,,,,,,,,,,,,,,,
"DUFFY, CONOR",CO,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$1,767","$2,050",$0,"$3,817",46%,54%,0%,,,,,,,,,,,,,,,,,,
"DUFFY, ZAC",TX,STATE HOUSE/ASSEMBLY/SENATE,DID NOT ADVANCE,Y,"$26,015","$7,080",$0,"$33,095",79%,21%,0%,,,,,,,,,,,,,,,,,,
"DUGAN, ELDON",OK,STATE HOUSE/ASSEMBLY/SENATE,DID NOT ADVANCE,Y,"$4,200",$0,$0,"$4,200",100%,0%,0%,,,,,,,,,,,,,,,,,,
"DUGAN, LISA M",IL,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$22,763","$31,000",$0,"$53,763",42%,58%,0%,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$67,474","$4,275",$0,"$71,749",94%,6%,0%
"DUGAN, MICHAEL B (MIKE)",GA,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,N,"$51,155","$10,250",$0,"$61,405",83%,17%,0%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$93,800","$9,550",$0,"$103,350",91%,9%,0%,,,,,,,,,
"DUGGAN, WYMAN",FL,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$196,909","$11,385",$0,"$208,294",95%,5%,0%,,,,,,,,,,,,,,,,,,
"DUGGER, DENNIS",OK,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$26,845",$100,$0,"$26,945",100%,0%,0%,,,,,,,,,,,,,,,,,,
"DUKES, DAWNNA",TX,STATE HOUSE/ASSEMBLY/SENATE,DID NOT ADVANCE,Y,"$113,450",$0,$0,"$113,450",100%,0%,0%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$16,108","$5,750",$0,"$21,858",74%,26%,0%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$33,616","$5,100",$0,"$38,716",87%,13%,0%
"DUKES, TIMOTHY D (TIM)",DE,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,N,"$1,550",$200,$0,"$1,750",89%,11%,0%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$18,200","$2,100",$700,"$21,000",87%,10%,3%,,,,,,,,,
"DUKES, WINFRED",GA,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,N,"$17,250",$0,$0,"$17,250",100%,0%,0%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$6,150",$0,$0,"$6,150",100%,0%,0%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$14,100","$2,500",$0,"$16,600",85%,15%,0%
"DULIN, ANDY THOMAS",NC,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,N,"$84,825","$2,550",$0,"$87,375",97%,3%,0%,,,,,,,,,,,,,,,,,,
"DUMAIS, KATHLEEN",MD,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$35,796","$3,625",$0,"$39,421",91%,9%,0%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$57,095","$7,575",$0,"$64,670",88%,12%,0%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$48,128","$5,715",$0,"$53,843",89%,11%,0%
"DUMAN, MICHELLE",CA,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,N,"$9,991",$226,$0,"$10,217",98%,2%,0%,,,,,,,,,,,,,,,,,,
"DUNAHOO JR, EMORY W",GA,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,N,"$76,050","$16,500",$0,"$92,550",82%,18%,0%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$41,250","$6,250",$0,"$47,500",87%,13%,0%,,,,,,,,,
"DUNBAR, GEORGE S",PA,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$14,565","$3,150",$0,"$17,715",82%,18%,0%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$30,195","$3,200",$0,"$33,395",90%,10%,0%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$154,161","$5,000",$0,"$159,161",97%,3%,0%
"DUNCAN, CRYSTAL",OK,STATE HOUSE/ASSEMBLY/SENATE,DID NOT ADVANCE,Y,"$36,025",$0,$0,"$36,025",100%,0%,0%,,,,,,,,,,,,,,,,,,
"DUNCAN, GEOFFREY L",GA,GOVERNOR/LIEUTENANT GOVERNOR,ADVANCED TO GENERAL,Y,"$734,148","$36,050",$0,"$770,198",95%,5%,0%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$76,399","$9,800",$0,"$86,199",89%,11%,0%,,,,,,,,,
"DUNCAN, SHELLY L",WY,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,N,"$7,288","$1,020",$0,"$8,308",88%,12%,0%,,,,,,,,,,,,,,,,,,
"DUNKIN, KENNETH (KEN)",IL,STATE HOUSE/ASSEMBLY/SENATE,DID NOT ADVANCE,Y,"$11,000",$0,$0,"$11,000",100%,0%,0%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$56,817","$24,395",$0,"$81,212",70%,30%,0%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$90,912","$3,300",$0,"$94,212",96%,4%,0%
"DUNLAP, TRAVIS",OK,STATE HOUSE/ASSEMBLY/SENATE,DID NOT ADVANCE,Y,"$38,839","$3,950",$0,"$42,789",91%,9%,0%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$26,250",$250,$0,"$26,500",99%,1%,0%,,,,,,,,,
"DUNLEAVY, MICHAEL J (MIKE)",AK,GOVERNOR/LIEUTENANT GOVERNOR,ADVANCED TO GENERAL,N,"$299,770","$11,560",$0,"$311,330",96%,4%,0%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$74,090","$2,050",$0,"$76,140",97%,3%,0%,,,,,,,,,
"DUNN JR, ALEX",TN,STATE HOUSE/ASSEMBLY/SENATE,DID NOT ADVANCE,Y,"$4,807",$590,$0,"$5,397",89%,11%,0%,,,,,,,,,,,,,,,,,,
"DUNN, BILL",TN,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$54,070","$2,900",$0,"$56,970",95%,5%,0%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$11,500",$0,$0,"$11,500",100%,0%,0%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$6,010",$850,$0,"$6,860",88%,12%,0%
"DUNN, PRISCILLA",AL,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$51,350","$4,000",$0,"$55,350",93%,7%,0%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$87,950","$4,500",$0,"$92,450",95%,5%,0%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$130,605","$9,606",$0,"$140,211",93%,7%,0%
"DUNN, ROBIN L",NM,GOVERNOR/LIEUTENANT GOVERNOR,ADVANCED TO GENERAL,Y,"$2,000",$0,$0,"$2,000",100%,0%,0%,,,,,,,,,,,,,,,,,,
"DUNNIGAN, JIM",UT,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$38,019","$14,050",$0,"$52,069",73%,27%,0%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$93,368","$15,600",$0,"$108,968",86%,14%,0%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$67,676","$9,333",$0,"$77,010",88%,12%,0%
"DUNNINGTON, JASON",OK,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$40,485","$4,550","$8,640","$53,675",75%,8%,16%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$74,329",$550,$0,"$74,879",99%,1%,0%,,,,,,,,,
"DUNPHY, MICHELLE ANN",ME,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,N,"$6,524",$0,$0,"$6,524",100%,0%,0%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$6,653",$0,$0,"$6,653",100%,0%,0%,,,,,,,,,
"DUNSBY, ADAM",CT,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,N,"$15,330",$250,$0,"$15,580",98%,2%,0%,,,,,,,,,,,,,,,,,,
"DUNWOODY, STEVE",CA,STATE HOUSE/ASSEMBLY/SENATE,DID NOT ADVANCE,N,"$41,143","$15,941","$2,255","$59,339",69%,27%,4%,,,,,,,,,,,,,,,,,,
"DUPLANTIS, STEPHEN",AK,STATE HOUSE/ASSEMBLY/SENATE,DID NOT ADVANCE,N,"$9,662",$200,$0,"$9,862",98%,2%,0%,,,,,,,,,,,,,,,,,,
"DUPLESSIS, JIM",KY,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$22,454","$2,500",$300,"$25,254",89%,10%,1%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$95,185","$2,200",$0,"$97,385",98%,2%,0%,,,,,,,,,
"DUPLESSIS, ROYCE",LA,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$111,932","$16,270",$0,"$128,202",87%,13%,0%,,,,,,,,,,,,,,,,,,
"DUPONT, CAROLYN",KY,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$12,971",$500,$0,"$13,471",96%,4%,0%,,,,,,,,,,,,,,,,,,
"DUPUIS, STEPHEN R",ME,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,N,"$2,520",$0,$0,"$2,520",100%,0%,0%,,,,,,,,,,,,,,,,,,
"DURAN, MONICA I",CO,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$68,303","$4,200",$0,"$72,503",94%,6%,0%,,,,,,,,,,,,,,,,,,
"DURAN, NICHOLAS XAVIER",FL,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$115,630","$21,000","$10,500","$147,130",79%,14%,7%,,,,,,,,,,,,,,,,,,
"DURANT, PETER J",MA,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,N,"$2,700",$0,$500,"$3,200",84%,0%,16%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$12,375",$500,"$2,475","$15,350",81%,3%,16%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$5,536",$0,$0,"$5,536",100%,0%,0%
"DURAZO, MARIA ELENA",CA,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,N,"$917,292","$161,709",$0,"$1,079,000",85%,15%,0%,,,,,,,,,,,,,,,,,,
"DURFEE, DAVID K",VT,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,N,"$2,247","$1,200",$645,"$4,092",55%,29%,16%,,,,,,,,,,,,,,,,,,
"DURHAL III, FREDERICK",MI,STATE HOUSE/ASSEMBLY/SENATE,DID NOT ADVANCE,Y,"$51,005","$1,800","$1,550","$54,355",94%,3%,3%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$22,494",$30,"$1,000","$23,524",96%,0%,4%,,,,,,,,,
"DURKIN, JAMES B (JIM)",IL,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$2,072,413","$408,484",$700,"$2,481,597",84%,16%,0%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$875,011","$290,800",$0,"$1,165,811",75%,25%,0%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$95,125","$12,050",$0,"$107,175",89%,11%,0%
"DURRELL, DAVID P",ME,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,N,"$6,764",$0,$0,"$6,764",100%,0%,0%,,,,,,,,,,,,,,,,,,
"DURSO, ANTHONY",NY,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,N,"$60,351","$1,000","$22,690","$84,041",72%,1%,27%,,,,,,,,,,,,,,,,,,
"DUSH, CRIS",PA,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$4,975",$0,$0,"$4,975",100%,0%,0%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$52,964","$1,000",$0,"$53,964",98%,2%,0%,,,,,,,,,
"DUSON, JILL C",ME,STATE HOUSE/ASSEMBLY/SENATE,DID NOT ADVANCE,N,"$10,525",$0,$0,"$10,525",100%,0%,0%,,,,,,,,,,,,,,,,,,
"DUTHIE, BRIAN",WA,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,N,"$28,598",$500,"$1,000","$30,098",95%,2%,3%,,,,,,,,,,,,,,,,,,
"DUTTON JR, HAROLD V",TX,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$69,165","$5,000",$0,"$74,165",93%,7%,0%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$30,990","$2,500",$0,"$33,490",93%,7%,0%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$16,250","$2,000",$0,"$18,250",89%,11%,0%
"DUTTON, DELVIS WILLIAM",GA,STATE HOUSE/ASSEMBLY/SENATE,DID NOT ADVANCE,N,"$7,992",$0,$0,"$7,992",100%,0%,0%,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$16,841",$0,$0,"$16,841",100%,0%,0%
"DUZON, VERONICA",HI,STATE HOUSE/ASSEMBLY/SENATE,DID NOT ADVANCE,N,"$1,905",$0,$0,"$1,905",100%,0%,0%,,,,,,,,,,,,,,,,,,
"DVORAK, JAMES",MD,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$5,036",$0,$0,"$5,036",100%,0%,0%,,,,,,,,,,,,,,,,,,
"DVORAK, RYAN MICHAEL",IN,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$5,075","$2,300",$0,"$7,375",69%,31%,0%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$5,317","$1,600",$0,"$6,917",77%,23%,0%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$3,650",$250,$0,"$3,900",94%,6%,0%
"DYCE, JOHN",OH,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$9,986","$5,600",$100,"$15,686",64%,36%,1%,,,,,,,,,,,,,,,,,,
"DYE, MARY L",WA,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,N,"$24,520","$6,000",$0,"$30,520",80%,20%,0%,,,,,,,,,,,,,,,,,,
"DYER, RAYMOND ORVILLE",NC,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,N,"$2,122",$400,$0,"$2,522",84%,16%,0%,,,,,,,,,,,,,,,,,,
"DYER, TROY",OK,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$6,750",$0,$0,"$6,750",100%,0%,0%,,,,,,,,,,,,,,,,,,
"DYKEMA, CAROLYN C",MA,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,N,"$5,710",$0,$955,"$6,665",86%,0%,14%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$15,735",$0,$80,"$15,815",99%,0%,1%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$13,324",$0,$0,"$13,324",100%,0%,0%
"DYSON, LINDA",AR,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$12,395",$0,$0,"$12,395",100%,0%,0%,,,,,,,,,,,,,,,,,,
"EAGLE, DANE",FL,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$139,228","$25,550","$11,725","$176,503",79%,14%,7%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$198,182","$24,350",$266,"$222,798",89%,11%,0%,,,,,,,,,
"EALUM, DARREL",GA,STATE HOUSE/ASSEMBLY/SENATE,DID NOT ADVANCE,N,"$74,000","$1,000",$0,"$75,000",99%,1%,0%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$1,150",$0,$0,"$1,150",100%,0%,0%,,,,,,,,,
"EANES, PAMELA R",IN,STATE HOUSE/ASSEMBLY/SENATE,DID NOT ADVANCE,Y,"$4,325",$525,$0,"$4,850",89%,11%,0%,,,,,,,,,,,,,,,,,,
"EARLEY JR, CHARLES FRANKLIN (CHUCK)",NC,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,N,"$1,900",$0,$0,"$1,900",100%,0%,0%,,,,,,,,,,,,,,,,,,
"EARLEY, KYLE",OH,STATE HOUSE/ASSEMBLY/SENATE,DID NOT ADVANCE,Y,"$5,860",$50,$170,"$6,080",96%,1%,3%,,,,,,,,,,,,,,,,,,
"EARLY, JAZMINE M",MI,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$5,196",$0,$0,"$5,196",100%,0%,0%,,,,,,,,,,,,,,,,,,
"EASLEY, ARLENE CUNNINGHAM",AL,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$6,601","$1,500",-$170,"$7,931",83%,19%,-2%,,,,,,,,,,,,,,,,,,
"EASLEY-GRAF, KILMYN",OK,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$37,648","$1,000",$0,"$38,648",97%,3%,0%,,,,,,,,,,,,,,,,,,
"EASTERBROOK, BRETT",AL,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$18,683","$6,070",$0,"$24,753",75%,25%,0%,,,,,,,,,,,,,,,,,,
"EASTIN, DELAINE",CA,GOVERNOR/LIEUTENANT GOVERNOR,DID NOT ADVANCE,N,"$854,685","$68,649","$99,971","$1,023,304",84%,7%,10%,,,,,,,,,,,,,,,,,,
"EASTMAN, DAVID",AK,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,N,"$16,943","$1,550",$0,"$18,493",92%,8%,0%,,,,,,,,,,,,,,,,,,
"EATON, GREGORY A",MA,STATE HOUSE/ASSEMBLY/SENATE,DID NOT ADVANCE,N,"$8,785",$0,$0,"$8,785",100%,0%,0%,,,,,,,,,,,,,,,,,,
"EAVES, LES",AR,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$8,653","$2,050",$0,"$10,703",81%,19%,0%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$7,200",$0,$0,"$7,200",100%,0%,0%,,,,,,,,,
"EAVES, MORGAN H",KY,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$85,080","$1,425",$0,"$86,505",98%,2%,0%,,,,,,,,,,,,,,,,,,
"EBERHART, SEAN R",IN,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$25,483","$4,700",$0,"$30,183",84%,16%,0%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$27,517","$4,500",$0,"$32,017",86%,14%,0%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$9,510","$2,150",$0,"$11,660",82%,18%,0%
"EBERSOLE, ERIC D",MD,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$62,256","$5,050","$20,258","$87,564",71%,6%,23%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$39,592","$11,617",$0,"$51,209",77%,23%,0%,,,,,,,,,
"EBKE, LAURA",NE,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$51,543","$78,016",$500,"$130,059",40%,60%,0%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$16,618",$0,$0,"$16,618",100%,0%,0%,,,,,,,,,
"ECHO-HAWK, JASHA LYONS",OK,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$13,912","$1,853",$0,"$15,765",88%,12%,0%,,,,,,,,,,,,,,,,,,
"ECHOLS, JON",OK,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$74,418","$17,100","$119,608","$211,126",35%,8%,57%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$50,776","$11,950",$0,"$62,726",81%,19%,0%,,,,,,,,,
"ECKARDT, ADELAIDE C (ADDIE)",MD,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$87,750","$7,450",$0,"$95,200",92%,8%,0%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$52,235",$900,"$3,550","$56,685",92%,2%,6%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$58,638","$1,850",$0,"$60,488",97%,3%,0%
"ECKER, TORREN C",PA,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$22,165",$810,$0,"$22,975",96%,4%,0%,,,,,,,,,,,,,,,,,,
"ECKERT, CHRISTINA",MA,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,N,"$33,759","$2,875",$0,"$36,634",92%,8%,0%,,,,,,,,,,,,,,,,,,
"ECKLUND, ROB",MN,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$16,150",$500,$0,"$16,650",97%,3%,0%,,,,,,,,,,,,,,,,,,
"ECKSTORM GREEN, ANNE MARIE",SC,STATE HOUSE/ASSEMBLY/SENATE,DID NOT ADVANCE,Y,"$3,700",$0,$0,"$3,700",100%,0%,0%,,,,,,,,,,,,,,,,,,
"EDER, JOHN M",ME,STATE HOUSE/ASSEMBLY/SENATE,DID NOT ADVANCE,N,"$3,070",$0,$0,"$3,070",100%,0%,0%,,,,,,,,,,,,,,,,,,
"EDEVBIE, AGHOGHO",MI,STATE HOUSE/ASSEMBLY/SENATE,DID NOT ADVANCE,Y,"$82,994","$27,613",$0,"$110,607",75%,25%,0%,,,,,,,,,,,,,,,,,,
"EDGEL, ROBERT",UT,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$1,799",$96,$0,"$1,894",95%,5%,0%,,,,,,,,,,,,,,,,,,
